"lfdnr";"lfdnr2";"Finanzposition";"Bezeichnung";"EinAus";"Teilabschnitt";"RQ";"FG";"SN";"AOB";"AnfZahlungsrueckstand";"LaufendesSoll";"GesamtSoll";"Ist";"SchliesslicheRueckstaende";"Voranschlag";"NachtragsVoranschlage";"GesamtVoranschlag";"UnterschiedLFDSollGesamtVAGuenstiger";"UnterschiedLFDSollGesamtVAUnguenstiger";"zahl";"pol1";"pol2";"pol3";"pol4";"pol5";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"polAgg3";"ecoAgg3";"polAgg5";"ecoAgg6";"year"
"1";1;"1.00000.042200";"AMTSAUSSTATTUNG";"AUSGABE";0;41;3;"D";"MDPA";"        788.74";"      13374.14";"      14162.88";"      13223.89";"        938.99";"      14000.00";"          0.00";"      14000.00";"        625.86";"          0.00";"1";"0";"0";"0";"0";"0";"0";"4";"2";"2";"0";"0";"000";"042";"00000";"042200";"2011"
"2";2;"1.00000.042990";"AMTSAUSSTATTUNG";"AUSGABE";0;41;3;"D";"MDIM";"        984.23";"          0.00";"        984.23";"        984.23";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"0";"0";"0";"0";"0";"4";"2";"9";"9";"0";"000";"042";"00000";"042990";"2011"
"3";3;"1.00000.043550";"BETRIEBSAUSSTATTUNG";"AUSGABE";0;41;3;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"0";"0";"0";"0";"0";"4";"3";"5";"5";"0";"000";"043";"00000";"043550";"2011"
"4";4;"1.00000.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"AUSGABE";0;65;8;"S";"SN21";"          0.00";"      15156.61";"      15156.61";"      15156.61";"          0.00";"      14800.00";"          0.00";"      14800.00";"          0.00";"        356.61";"1";"0";"0";"0";"0";"0";"3";"4";"6";"0";"0";"0";"000";"346";"00000";"346000";"2011"
"5";5;"1.00000.400030";"GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS";"AUSGABE";0;23;1;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1900.00";"          0.00";"       1900.00";"       1900.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"3";"0";"000";"400";"00000";"400030";"2011"
"6";6;"1.00000.400200";"GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS";"AUSGABE";0;23;1;"D";"MDPA";"       1763.74";"      13562.79";"      15326.53";"      12421.68";"       2904.85";"      14000.00";"          0.00";"      14000.00";"        437.21";"          0.00";"1";"0";"0";"0";"0";"0";"4";"0";"0";"2";"0";"0";"000";"400";"00000";"400200";"2011"
"7";7;"1.00000.400990";"GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS";"AUSGABE";0;23;3;"D";"MDIM";"        523.76";"          0.00";"        523.76";"        523.76";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"0";"0";"9";"9";"0";"000";"400";"00000";"400990";"2011"
"8";8;"1.00000.403000";"HANDELSWAREN POKALE, EHRENPREISE U.DGL.";"AUSGABE";0;23;9;"D";"STSR";"          0.00";"       6416.83";"       6416.83";"       6416.83";"          0.00";"       8300.00";"          0.00";"       8300.00";"       1883.17";"          0.00";"1";"0";"0";"0";"0";"0";"4";"0";"3";"0";"0";"0";"000";"403";"00000";"403000";"2011"
"9";9;"1.00000.420200";"PFLANZLICHE ROHSTOFFE";"AUSGABE";0;23;1;"D";"MDPA";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        500.00";"          0.00";"        500.00";"        500.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"2";"0";"2";"0";"0";"000";"420";"00000";"420200";"2011"
"10";10;"1.00000.425200";"SONSTIGE ROH- UND HILFSSTOFFE";"AUSGABE";0;23;1;"D";"MDPA";"        113.48";"          0.00";"        113.48";"        113.48";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"2";"5";"2";"0";"0";"000";"425";"00000";"425200";"2011"
"11";11;"1.00000.428200";"FERTIG BEZOGENE TEILE";"AUSGABE";0;23;1;"D";"MDPA";"        461.55";"          0.00";"        461.55";"        461.55";"          0.00";"       1500.00";"          0.00";"       1500.00";"       1500.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"2";"8";"2";"0";"0";"000";"428";"00000";"428200";"2011"
"12";12;"1.00000.428550";"FERTIG BEZOGENE TEILE";"AUSGABE";0;23;1;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"2";"8";"5";"5";"0";"000";"428";"00000";"428550";"2011"
"13";13;"1.00000.454200";"REINIGUNGSMITTEL";"AUSGABE";0;23;1;"D";"MDPA";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        400.00";"          0.00";"        400.00";"        400.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"5";"4";"2";"0";"0";"000";"454";"00000";"454200";"2011"
"14";14;"1.00000.454206";"REINIGUNGSMITTEL GBG-WERKSTÄTTEN";"AUSGABE";0;23;1;"D";"MDPA";"          0.00";"        351.41";"        351.41";"        223.84";"        127.57";"          0.00";"          0.00";"          0.00";"          0.00";"        351.41";"1";"0";"0";"0";"0";"0";"4";"5";"4";"2";"0";"6";"000";"454";"00000";"454206";"2011"
"15";15;"1.00000.456200";"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL";"AUSGABE";0;23;1;"D";"MDPA";"        176.46";"      12382.54";"      12559.00";"      11511.16";"       1047.84";"      10000.00";"          0.00";"      10000.00";"          0.00";"       2382.54";"1";"0";"0";"0";"0";"0";"4";"5";"6";"2";"0";"0";"000";"456";"00000";"456200";"2011"
