Finanzposition;Bezeichnung;EIN/AUS;Teilabschnitt;RQ;FG;SN;AOB;Anfängliche Zahlungsrückstände EUR;Laufendes Soll EUR;Gesamt Soll EUR;Ist EUR;Schließliche Zahlungsrückstände EUR;Voranschlag EUR;Nachtrags-Voranschlag EUR;Gesamt-Voranschlag EUR;Unterschied zw. LFD.Soll - Gesamt-VA günsiger EUR;Unterschied zw. LFD.Soll - Gesamt-VA ungünsiger EUR
'1.00000.042200';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;D;'MDPA';        291.38;      21080.90;      21372.28;      17461.29;       3910.99;      10000.00;          0.00;      10000.00;          0.00;      11080.90
'1.00000.042300';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;D;'FW00';          0.00;       2206.27;       2206.27;          0.00;       2206.27;          0.00;          0.00;          0.00;          0.00;       2206.27
'1.00000.042550';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;D;'0805';          0.00;       1728.55;       1728.55;       1728.55;          0.00;          0.00;          0.00;          0.00;          0.00;       1728.55
'1.00000.042990';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;D;'MDIM';       5890.69;       1583.13;       7473.82;       7473.82;          0.00;          0.00;          0.00;          0.00;          0.00;       1583.13
'1.00000.043550';BETRIEBSAUSSTATTUNG;AUSGABE;'00000';41;3;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.00000.070990';AKTIVIERUNGSFÄHIGE RECHTE EDV;AUSGABE;'00000';42;3;D;'MDIM';         44.07;       1608.66;       1652.73;       1652.73;          0.00;          0.00;          0.00;          0.00;          0.00;       1608.66
'1.00000.346000';INVESTITIONSDARLEHEN VON KREDITINSTITUTEN;AUSGABE;'00000';65;8;S;'SN21';          0.00;      14120.69;      14120.69;      14120.69;          0.00;      14100.00;          0.00;      14100.00;          0.00;         20.69
'1.00000.400030';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;D;'0805';          0.00;        673.17;        673.17;        673.17;          0.00;       2000.00;          0.00;       2000.00;       1326.83;          0.00
'1.00000.400200';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;D;'MDPA';       2405.64;      17886.73;      20292.37;      20229.34;         63.03;      15000.00;          0.00;      15000.00;          0.00;       2886.73
'1.00000.400890';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;D;'085W';          0.00;        673.68;        673.68;        673.68;          0.00;        200.00;          0.00;        200.00;          0.00;        473.68
'1.00000.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;3;D;'MDIM';       1583.96;       6860.17;       8444.13;       8428.08;         16.05;          0.00;          0.00;          0.00;          0.00;       6860.17
'1.00000.402550';MATERIALIEN F.INNERBETRIEBLICHE LEISTUNGEN;AUSGABE;'00000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.00000.403000';HANDELSWAREN POKALE, EHRENPREISE U.DGL.;AUSGABE;'00000';23;9;D;'STSR';         51.70;       4821.85;       4873.55;       4873.55;          0.00;       8300.00;          0.00;       8300.00;       3478.15;          0.00
'1.00000.420200';PFLANZLICHE ROHSTOFFE;AUSGABE;'00000';23;1;D;'MDPA';       1251.83;        651.69;       1903.52;       1903.52;          0.00;          0.00;          0.00;          0.00;          0.00;        651.69
'1.00000.420890';PFLANZLICHE ROHSTOFFE;AUSGABE;'00000';23;1;D;'085W';          0.00;       2408.33;       2408.33;       2408.33;          0.00;        500.00;          0.00;        500.00;          0.00;       1908.33
'1.00000.423550';ROH- UND HILFSSTOFFE FÜR DAS BAUHAUPTGEWERBE;AUSGABE;'00000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.00000.424550';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'00000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.00000.424890';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'00000';23;1;D;'085W';          0.00;        237.67;        237.67;        237.67;          0.00;        500.00;          0.00;        500.00;        262.33;          0.00
'1.00000.425890';SONSTIGE ROH- UND HILFSSTOFFE;AUSGABE;'00000';23;1;D;'085W';          0.00;        303.35;        303.35;        303.35;          0.00;        500.00;          0.00;        500.00;        196.65;          0.00
'1.00000.428200';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;D;'MDPA';        886.15;       2879.29;       3765.44;       3727.47;         37.97;          0.00;          0.00;          0.00;          0.00;       2879.29
'1.00000.428550';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.00000.428890';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;D;'085W';         71.85;       2389.22;       2461.07;       2461.07;          0.00;        500.00;          0.00;        500.00;          0.00;       1889.22
'1.00000.454000';REINIGUNGSMITTEL;AUSGABE;'00000';23;1;D;'0805';          0.00;         73.22;         73.22;         73.22;          0.00;          0.00;          0.00;          0.00;          0.00;         73.22
'1.00000.454200';REINIGUNGSMITTEL;AUSGABE;'00000';23;1;D;'MDPA';          0.00;        655.23;        655.23;        655.23;          0.00;        100.00;          0.00;        100.00;          0.00;        555.23
'1.00000.456200';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;D;'MDPA';        206.52;       8770.97;       8977.49;       8977.49;          0.00;      10000.00;          0.00;      10000.00;       1229.03;          0.00
'1.00000.456990';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;D;'MDIM';       2799.86;      12891.41;      15691.27;      13619.57;       2071.70;          0.00;          0.00;          0.00;          0.00;      12891.41
'1.00000.457009';DRUCKWERKE KOPIERSERVICE - MDPA;AUSGABE;'00000';23;1;D;'MDPA';          0.00;       1912.55;       1912.55;       1912.55;          0.00;      12000.00;          0.00;      12000.00;      10087.45;          0.00
'1.00000.457200';DRUCKWERKE;AUSGABE;'00000';23;1;D;'MDPA';        883.60;      20752.45;      21636.05;      21034.95;        601.10;      18000.00;          0.00;      18000.00;          0.00;       2752.45
'1.00000.458200';MITTEL ZUR ÄRZTL. BETREUUNG UND GESUNDHEITSVORSORG;AUSGABE;'00000';23;1;D;'MDPA';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.00000.459200';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;D;'MDPA';         53.92;        586.88;        640.80;        640.80;          0.00;        600.00;          0.00;        600.00;         13.12;          0.00
'1.00000.459550';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.00000.459890';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;D;'085W';          0.00;         34.76;         34.76;         34.76;          0.00;        100.00;          0.00;        100.00;         65.24;          0.00
'1.00000.480890';FREMDBEARBEITUNG (LOHNARBEIT);AUSGABE;'00000';23;1;D;'085W';          0.00;          0.00;          0.00;          0.00;          0.00;        200.00;          0.00;        200.00;        200.00;          0.00
'1.00000.500000';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'00000';20;0;S;'MDPA';          0.00;     667674.55;     667674.55;     667674.55;          0.00;     792200.00;     231000.00;    1023200.00;     355525.45;          0.00
