Finanzposition;Bezeichnung;EIN/AUS;Teilabschnitt;VQ;FG;DKL;AOB;Voranschlag 2012 EUR;Voranschlag 2011 EUR;Rechnung 2010 EUR
'1.00000.040100';FAHRZEUGE;AUSGABE;'00000';41;3;'MD060';'MDPA';          0.00;          0.00;       2881.50
'1.00000.042200';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'MD060';'MDPA';      15000.00;      14000.00;       7784.92
'1.00000.042990';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'GMDI0';'MDIM';          0.00;          0.00;        984.23
'1.00000.043550';BETRIEBSAUSSTATTUNG;AUSGABE;'00000';41;3;'12230';'0804';       1000.00;       1000.00;          0.00
'1.00000.070990';AKTIVIERUNGSFÄHIGE RECHTE EDV;AUSGABE;'00000';42;3;'GMDI0';'MDIM';          0.00;          0.00;       1103.94
'1.00000.346000';INVESTITIONSDARLEHEN VON KREDITINSTITUTEN;AUSGABE;'00000';65;8;'SN021';'SN21';      15400.00;      14800.00;      14630.90
'1.00000.400030';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'12230';'0804';          0.00;       1900.00;        150.23
'1.00000.400200';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'MD060';'MDPA';      15000.00;      14000.00;      14507.72
'1.00000.400890';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'G085W';'085W';          0.00;          0.00;          5.94
'1.00000.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;3;'GMDI0';'MDIM';          0.00;          0.00;       4018.07
'1.00000.403000';HANDELSWAREN POKALE, EHRENPREISE U.DGL.;AUSGABE;'00000';23;9;'';'STSR';       8300.00;       8300.00;       5402.22
'1.00000.420200';PFLANZLICHE ROHSTOFFE;AUSGABE;'00000';23;1;'MD060';'MDPA';          0.00;        500.00;        383.96
'1.00000.420890';PFLANZLICHE ROHSTOFFE;AUSGABE;'00000';23;1;'G085W';'085W';          0.00;          0.00;        987.63
'1.00000.425200';SONSTIGE ROH- UND HILFSSTOFFE;AUSGABE;'00000';23;1;'MD060';'MDPA';          0.00;          0.00;        167.30
